city,state,station,last_update,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Haldia,West_Bengal,"Priyambada Housing Estate, Haldia - WBPCB",2025-05-19 10:00:00,22.06047,88.109737,14.0,24.0,13.0,13.0,21.0,16.0,323.8461538461538,Very Poor
Hanumangarh,Rajasthan,"Housing Board, Hanumangarh - RSPCB",2025-05-19 10:00:00,29.61075,74.283608,119.0,137.0,11.0,5.0,46.0,23.0,460.2010050251256,Severe
Hapur,Uttar_Pradesh,"Anand Vihar, Hapur - UPPCB",2025-05-19 10:00:00,28.725645,77.749675,51.0,89.0,39.0,33.0,16.0,1.0,285.6521739130435,Poor
Hosur,TamilNadu,"SIPCOT Phase-1, Hosur - TNPCB",2025-05-19 10:00:00,12.746998,77.813811,76.0,84.0,2.0,54.0,18.0,10.0,306.2721893491124,Very Poor
Howrah,West_Bengal,"Belur Math, Howrah - WBPCB",2025-05-19 10:00:00,22.629801,88.352017,13.0,30.0,34.0,8.0,8.0,19.0,174.9367088607595,Moderately Polluted
Howrah,West_Bengal,"Botanical Garden, Howrah - WBPCB",2025-05-19 10:00:00,22.554954,88.292568,17.0,31.0,55.0,9.0,67.0,8.0,500.0,Severe
Howrah,West_Bengal,"Dasnagar, Howrah - WBPCB",2025-05-19 10:00:00,22.6025571,88.3105664,33.0,42.0,72.0,4.0,20.0,57.0,317.98816568047334,Very Poor
Howrah,West_Bengal,"Ghusuri, Howrah - WBPCB",2025-05-19 10:00:00,22.611968,88.347422,28.0,24.0,23.0,10.0,9.0,29.0,187.46835443037975,Moderately Polluted
Howrah,West_Bengal,"Padmapukur, Howrah - WBPCB",2025-05-19 10:00:00,22.5687319,88.2797276,25.0,50.0,12.0,7.0,16.0,20.0,285.6521739130435,Poor
Hubballi,Karnataka,"Lingaraj Nagar, Hubballi - KSPCB",2025-05-19 10:00:00,15.3714823,75.1160168,36.0,46.0,9.0,1.0,13.0,11.0,242.6086956521739,Poor
Hyderabad,Telangana,"Bollaram Industrial Area, Hyderabad - TSPCB",2025-05-19 10:00:00,17.540891,78.358528,53.0,59.0,38.0,8.0,59.0,73.0,500.0,Severe
Hyderabad,Telangana,"ECIL Kapra, Hyderabad - TSPCB",2025-05-19 10:00:00,17.470431,78.566959,64.0,91.0,17.0,,32.0,13.0,388.28402366863907,Very Poor
Hyderabad,Telangana,"ICRISAT Patancheru, Hyderabad - TSPCB",2025-05-19 10:00:00,17.5184,78.278777,54.0,53.0,13.0,15.0,27.0,28.0,358.9940828402367,Very Poor
Hyderabad,Telangana,"IDA Pashamylaram, Hyderabad - TSPCB",2025-05-19 10:00:00,17.5316895,78.218939,,70.0,31.0,4.0,35.0,11.0,405.47738693467335,Severe
Hyderabad,Telangana,"IITH Kandi, Hyderabad - TSPCB",2025-05-19 10:00:00,17.585705,78.126199,56.0,61.0,14.0,7.0,16.0,34.0,285.6521739130435,Poor
Hyderabad,Telangana,"Kokapet, Hyderabad - TSPCB",2025-05-19 10:00:00,17.393559,78.339194,46.0,91.0,12.0,10.0,31.0,38.0,382.4260355029586,Very Poor
Hyderabad,Telangana,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",2025-05-19 10:00:00,17.429398,78.569354,56.0,78.0,13.0,15.0,33.0,11.0,394.14201183431953,Very Poor
Hyderabad,Telangana,"New Malakpet, Hyderabad - TSPCB",2025-05-19 10:00:00,17.37206,78.50864,44.0,58.0,14.0,13.0,16.0,11.0,285.6521739130435,Poor
Hyderabad,Telangana,"Ramachandrapuram, Hyderabad - TSPCB",2025-05-19 10:00:00,17.528544,78.286195,45.0,67.0,15.0,11.0,28.0,3.0,364.85207100591714,Very Poor
Hyderabad,Telangana,"Sanathnagar, Hyderabad - TSPCB",2025-05-19 10:00:00,17.4559458,78.4332152,39.0,,27.0,5.0,49.0,13.0,475.1256281407035,Severe
Hyderabad,Telangana,"Somajiguda, Hyderabad - TSPCB",2025-05-19 10:00:00,17.417094,78.457437,86.0,101.0,14.0,11.0,29.0,22.0,370.7100591715976,Very Poor
Imphal,Manipur,"DM College of Science, Imphal - Manipur PCB",2025-05-19 10:00:00,24.8207389,93.9423085,12.0,27.0,8.0,109.0,6.0,,149.873417721519,Moderately Polluted
